date,Catalonia,Geneva,England,Northern Ireland,Scotland,Wales
22/01/2020,0,0,0,0,0,0
23/01/2020,0,0,0,0,0,0
24/01/2020,0,0,0,0,0,0
25/01/2020,0,0,0,0,0,0
26/01/2020,0,0,0,0,0,0
27/01/2020,0,0,0,0,0,0
28/01/2020,0,0,0,0,0,0
29/01/2020,0,0,0,0,0,0
30/01/2020,0,0,0,0,0,0
31/01/2020,0,0,0,0,0,0
01/02/2020,0,0,0,0,0,0
02/02/2020,0,0,0,0,0,0
03/02/2020,0,0,0,0,0,0
04/02/2020,0,0,0,0,0,0
05/02/2020,0,0,0,0,0,0
06/02/2020,0,0,0,0,0,0
07/02/2020,0,0,0,0,0,0
08/02/2020,0,0,0,0,0,0
09/02/2020,0,0,0,0,0,0
10/02/2020,0,0,0,0,0,0
11/02/2020,0,0,0,0,0,0
12/02/2020,0,0,0,0,0,0
13/02/2020,0,0,0,0,0,0
14/02/2020,0,0,0,0,0,0
15/02/2020,0,0,0,0,0,0
16/02/2020,0,0,0,0,0,0
17/02/2020,0,0,0,0,0,0
18/02/2020,0,0,0,0,0,0
19/02/2020,0,0,0,0,0,0
20/02/2020,0,0,0,0,0,0
21/02/2020,0,0,0,0,0,0
22/02/2020,0,0,0,0,0,0
23/02/2020,0,0,0,0,0,0
24/02/2020,0,0,0,0,0,0
25/02/2020,0,0,0,0,0,0
26/02/2020,0,0,0,0,0,0
27/02/2020,0,0,0,0,0,0
28/02/2020,0,0,0,0,0,0
29/02/2020,0,0,0,0,0,0
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,1,0,0,0
07/03/2020,2,0,2,0,0,0
08/03/2020,7,0,2,0,0,0
09/03/2020,12,0,3,0,0,0
10/03/2020,18,1,7,0,0,0
11/03/2020,27,1,7,0,0,0
12/03/2020,45,2,9,0,0,0
13/03/2020,75,2,10,0,0,0
14/03/2020,120,2,28,0,0,0
15/03/2020,166,4,42,0,1,0
16/03/2020,212,4,64,0,1,0
17/03/2020,270,5,79,0,1,1
18/03/2020,353,6,112,0,2,1
19/03/2020,441,7,154,0,3,1
20/03/2020,549,9,186,1,6,1
21/03/2020,671,9,240,1,6,3
22/03/2020,825,10,264,2,7,12
23/03/2020,1031,14,331,2,10,16
24/03/2020,1263,15,474,3,14,17
25/03/2020,1532,22,651,5,16,22
26/03/2020,1837,24,820,7,22,28
27/03/2020,2173,31,1092,10,25,34
28/03/2020,2507,39,1371,13,33,38
29/03/2020,2851,48,1566,15,40,48
30/03/2020,3263,56,1919,21,41,62
31/03/2020,3652,66,2287,22,47,69
01/04/2020,4007,75,2900,28,69,98
02/04/2020,4394,83,3503,30,97,117
03/04/2020,4776,89,4158,36,126,141
04/04/2020,5129,102,4847,48,172,154
05/04/2020,5476,109,5425,56,218,166
06/04/2020,5827,121,5957,63,220,193
07/04/2020,6191,132,6967,70,222,212
08/04/2020,6532,146,7891,73,296,245
09/04/2020,6888,154,8878,78,366,286
10/04/2020,7205,166,9916,82,447,315
11/04/2020,7524,174,10661,92,495,351
12/04/2020,7829,182,11267,107,542,369
13/04/2020,8084,185,11961,118,566,384
14/04/2020,8354,190,12971,124,575,403
15/04/2020,8609,196,13703,134,615,463
16/04/2020,8852,203,14610,140,699,495
17/04/2020,9098,209,15436,158,779,506
18/04/2020,9305,213,16447,176,837,534
19/04/2020,9507,216,16831,193,893,575
20/04/2020,9694,219,17370,194,903,584
21/04/2020,9892,224,18492,207,915,609
22/04/2020,10042,233,19231,220,985,624
23/04/2020,10174,235,19834,250,1062,641
24/04/2020,10320,240,20658,263,1120,751
25/04/2020,10451,241,21399,278,1184,774
26/04/2020,10578,242,21742,294,1231,788
27/04/2020,10691,243,22049,299,1249,796
28/04/2020,10816,244,22918,309,1262,813
29/04/2020,10923,245,23550,329,1332,886
30/04/2020,11019,248,24110,338,1415,908
01/05/2020,11105,251,24763,347,1475,925
02/05/2020,11114,254,25282,365,1515,969
03/05/2020,11199,254,25528,376,1559,983
04/05/2020,11283,256,25785,381,1571,997
05/05/2020,11370,257,26441,387,1576,1023
06/05/2020,11451,258,27008,404,1620,1044
07/05/2020,11532,263,27432,418,1703,1062
08/05/2020,11584,263,27967,422,1762,1090
09/05/2020,11625,264,28250,426,1811,1099
10/05/2020,11675,266,28467,430,1847,1111
11/05/2020,11729,266,28657,435,1857,1116
12/05/2020,11771,267,29260,438,1862,1132
13/05/2020,11805,268,29673,447,1912,1154
14/05/2020,11833,268,30028,449,1973,1164
