country,sex,age_min,age_max,deaths,asof,nat-reg,continent
Germany,M,0,9,0,25/05/2020,nat,Europe
Germany,M,10,19,2,25/05/2020,nat,Europe
Germany,M,20,29,6,25/05/2020,nat,Europe
Germany,M,30,39,14,25/05/2020,nat,Europe
Germany,M,40,49,45,25/05/2020,nat,Europe
Germany,M,50,59,211,25/05/2020,nat,Europe
Germany,M,60,69,565,25/05/2020,nat,Europe
Germany,M,70,79,1249,25/05/2020,nat,Europe
Germany,M,80,89,1951,25/05/2020,nat,Europe
Germany,M,90,99,524,25/05/2020,nat,Europe
Germany,M,100,110,5,25/05/2020,nat,Europe
Germany,F,0,9,1,25/05/2020,nat,Europe
Germany,F,10,19,0,25/05/2020,nat,Europe
Germany,F,20,29,2,25/05/2020,nat,Europe
Germany,F,30,39,6,25/05/2020,nat,Europe
Germany,F,40,49,17,25/05/2020,nat,Europe
Germany,F,50,59,72,25/05/2020,nat,Europe
Germany,F,60,69,202,25/05/2020,nat,Europe
Germany,F,70,79,602,25/05/2020,nat,Europe
Germany,F,80,89,1753,25/05/2020,nat,Europe
Germany,F,90,99,980,25/05/2020,nat,Europe
Germany,F,100,110,45,25/05/2020,nat,Europe
Italy,M,0,9,1,21/05/2020,nat,Europe
Italy,M,10,19,0,21/05/2020,nat,Europe
Italy,M,20,29,10,21/05/2020,nat,Europe
Italy,M,30,39,41,21/05/2020,nat,Europe
Italy,M,40,49,199,21/05/2020,nat,Europe
Italy,M,50,59,852,21/05/2020,nat,Europe
Italy,M,60,69,2463,21/05/2020,nat,Europe
Italy,M,70,79,5940,21/05/2020,nat,Europe
Italy,M,80,89,7202,21/05/2020,nat,Europe
Italy,M,90,110,1773,21/05/2020,nat,Europe
Italy,F,0,9,3,21/05/2020,nat,Europe
Italy,F,10,19,0,21/05/2020,nat,Europe
Italy,F,20,29,3,21/05/2020,nat,Europe
Italy,F,30,39,20,21/05/2020,nat,Europe
Italy,F,40,49,70,21/05/2020,nat,Europe
Italy,F,50,59,250,21/05/2020,nat,Europe
Italy,F,60,69,762,21/05/2020,nat,Europe
Italy,F,70,79,2526,21/05/2020,nat,Europe
Italy,F,80,89,5527,21/05/2020,nat,Europe
Italy,F,90,110,3454,21/05/2020,nat,Europe
Sweden,B,0,9,1,22/06/2020,nat,Europe
Sweden,B,10,19,0,22/06/2020,nat,Europe
Sweden,B,20,29,8,22/06/2020,nat,Europe
Sweden,B,30,39,13,22/06/2020,nat,Europe
Sweden,B,40,49,44,22/06/2020,nat,Europe
Sweden,B,50,59,150,22/06/2020,nat,Europe
Sweden,B,60,69,364,22/06/2020,nat,Europe
Sweden,B,70,79,1141,22/06/2020,nat,Europe
Sweden,B,80,89,2157,22/06/2020,nat,Europe
Sweden,B,90,110,1331,22/06/2020,nat,Europe
Netherlands,M,0,4,0,27/05/2020,nat,Europe
Netherlands,M,5,9,0,27/05/2020,nat,Europe
