"country","sex","age_min","age_max","deaths","asof","nat.reg","continent"
"Scotland","M",0,1,0,"21/06/2020","nat","Europe"
"Scotland","M",1,14,0,"21/06/2020","nat","Europe"
"Scotland","M",15,44,14,"21/06/2020","nat","Europe"
"Scotland","M",45,64,221,"21/06/2020","nat","Europe"
"Scotland","M",65,74,-3,"21/06/2020","nat","Europe"
"Scotland","M",75,84,-6,"21/06/2020","nat","Europe"
"Scotland","M",85,110,-5,"21/06/2020","nat","Europe"
"Scotland","F",0,1,0,"21/06/2020","nat","Europe"
"Scotland","F",1,14,0,"21/06/2020","nat","Europe"
"Scotland","F",15,44,13,"21/06/2020","nat","Europe"
"Scotland","F",45,64,118,"21/06/2020","nat","Europe"
"Scotland","F",65,74,6,"21/06/2020","nat","Europe"
"Scotland","F",75,84,15,"21/06/2020","nat","Europe"
"Scotland","F",85,110,27,"21/06/2020","nat","Europe"
"England","M",0,1,0,"31/05/2020","nat","Europe"
"England","M",1,4,0,"31/05/2020","nat","Europe"
"England","M",5,9,0,"31/05/2020","nat","Europe"
"England","M",10,14,1,"31/05/2020","nat","Europe"
"England","M",15,19,4,"31/05/2020","nat","Europe"
"England","M",20,24,11,"31/05/2020","nat","Europe"
"England","M",25,29,28,"31/05/2020","nat","Europe"
"England","M",30,34,44,"31/05/2020","nat","Europe"
"England","M",35,39,59,"31/05/2020","nat","Europe"
"England","M",40,44,125,"31/05/2020","nat","Europe"
"England","M",45,49,238,"31/05/2020","nat","Europe"
"England","M",50,54,440,"31/05/2020","nat","Europe"
"England","M",55,59,818,"31/05/2020","nat","Europe"
"England","M",60,64,1166,"31/05/2020","nat","Europe"
"England","M",65,69,377,"31/05/2020","nat","Europe"
"England","M",70,74,618,"31/05/2020","nat","Europe"
"England","M",75,79,861,"31/05/2020","nat","Europe"
"England","M",80,84,1146,"31/05/2020","nat","Europe"
"England","M",85,89,1121,"31/05/2020","nat","Europe"
"England","M",90,110,927,"31/05/2020","nat","Europe"
"England","F",0,1,0,"31/05/2020","nat","Europe"
"England","F",1,4,0,"31/05/2020","nat","Europe"
"England","F",5,9,0,"31/05/2020","nat","Europe"
"England","F",10,14,1,"31/05/2020","nat","Europe"
"England","F",15,19,4,"31/05/2020","nat","Europe"
"England","F",20,24,8,"31/05/2020","nat","Europe"
"England","F",25,29,14,"31/05/2020","nat","Europe"
"England","F",30,34,25,"31/05/2020","nat","Europe"
"England","F",35,39,46,"31/05/2020","nat","Europe"
"England","F",40,44,68,"31/05/2020","nat","Europe"
"England","F",45,49,143,"31/05/2020","nat","Europe"
"England","F",50,54,254,"31/05/2020","nat","Europe"
"England","F",55,59,376,"31/05/2020","nat","Europe"
"England","F",60,64,577,"31/05/2020","nat","Europe"
"England","F",65,69,128,"31/05/2020","nat","Europe"
"England","F",70,74,218,"31/05/2020","nat","Europe"
"England","F",75,79,350,"31/05/2020","nat","Europe"
"England","F",80,84,560,"31/05/2020","nat","Europe"
"England","F",85,89,674,"31/05/2020","nat","Europe"
"England","F",90,110,893,"31/05/2020","nat","Europe"
"Wales","M",0,1,0,"31/05/2020","nat","Europe"
"Wales","M",1,4,0,"31/05/2020","nat","Europe"
"Wales","M",5,9,0,"31/05/2020","nat","Europe"
"Wales","M",10,14,0,"31/05/2020","nat","Europe"
"Wales","M",15,19,0,"31/05/2020","nat","Europe"
"Wales","M",20,24,1,"31/05/2020","nat","Europe"
"Wales","M",25,29,2,"31/05/2020","nat","Europe"
"Wales","M",30,34,1,"31/05/2020","nat","Europe"
"Wales","M",35,39,2,"31/05/2020","nat","Europe"
"Wales","M",40,44,5,"31/05/2020","nat","Europe"
"Wales","M",45,49,9,"31/05/2020","nat","Europe"
"Wales","M",50,54,21,"31/05/2020","nat","Europe"
"Wales","M",55,59,37,"31/05/2020","nat","Europe"
"Wales","M",60,64,50,"31/05/2020","nat","Europe"
"Wales","M",65,69,19,"31/05/2020","nat","Europe"
"Wales","M",70,74,31,"31/05/2020","nat","Europe"
"Wales","M",75,79,42,"31/05/2020","nat","Europe"
"Wales","M",80,84,54,"31/05/2020","nat","Europe"
"Wales","M",85,89,51,"31/05/2020","nat","Europe"
"Wales","M",90,110,43,"31/05/2020","nat","Europe"
"Wales","F",0,1,0,"31/05/2020","nat","Europe"
"Wales","F",1,4,0,"31/05/2020","nat","Europe"
"Wales","F",5,9,0,"31/05/2020","nat","Europe"
"Wales","F",10,14,0,"31/05/2020","nat","Europe"
"Wales","F",15,19,0,"31/05/2020","nat","Europe"
"Wales","F",20,24,0,"31/05/2020","nat","Europe"
"Wales","F",25,29,1,"31/05/2020","nat","Europe"
"Wales","F",30,34,2,"31/05/2020","nat","Europe"
"Wales","F",35,39,1,"31/05/2020","nat","Europe"
"Wales","F",40,44,5,"31/05/2020","nat","Europe"
"Wales","F",45,49,4,"31/05/2020","nat","Europe"
"Wales","F",50,54,12,"31/05/2020","nat","Europe"
"Wales","F",55,59,22,"31/05/2020","nat","Europe"
"Wales","F",60,64,27,"31/05/2020","nat","Europe"
"Wales","F",65,69,8,"31/05/2020","nat","Europe"
"Wales","F",70,74,14,"31/05/2020","nat","Europe"
"Wales","F",75,79,19,"31/05/2020","nat","Europe"
"Wales","F",80,84,27,"31/05/2020","nat","Europe"
"Wales","F",85,89,37,"31/05/2020","nat","Europe"
"Wales","F",90,110,49,"31/05/2020","nat","Europe"
"Northern Ireland","M",0,14,0,"26/06/2020","nat","Europe"
