country,sex,age_min,age_max,died_hosp,died_all,died_nonhosp,asof,source
France,M,0,9,4,4,0,19/05/2020,SIVIC
France,M,10,19,1,1,0,19/05/2020,SIVIC
France,M,20,29,11,14,3,19/05/2020,SIVIC
France,M,30,39,46,49,3,19/05/2020,SIVIC
France,M,40,49,140,146,6,19/05/2020,SIVIC
France,M,50,59,520,555,35,19/05/2020,SIVIC
France,M,60,69,1394,1499,105,19/05/2020,SIVIC
France,M,70,79,2476,2732,256,19/05/2020,SIVIC
France,M,80,89,3220,3755,535,19/05/2020,SIVIC
France,M,90,110,1332,1565,233,19/05/2020,SIVIC
France,F,0,9,1,1,0,19/05/2020,SIVIC
France,F,10,19,2,2,0,19/05/2020,SIVIC
France,F,20,29,7,7,0,19/05/2020,SIVIC
France,F,30,39,27,28,1,19/05/2020,SIVIC
France,F,40,49,71,79,8,19/05/2020,SIVIC
France,F,50,59,235,252,17,19/05/2020,SIVIC
France,F,60,69,565,620,55,19/05/2020,SIVIC
France,F,70,79,1099,1232,133,19/05/2020,SIVIC
France,F,80,89,2339,2815,476,19/05/2020,SIVIC
France,F,90,110,1725,2109,384,19/05/2020,SIVIC
Ireland,M,0,9,0,0,0,19/05/2020,HPSC
Ireland,M,10,19,0,0,0,19/05/2020,HPSC
Ireland,M,20,29,0,1,1,19/05/2020,HPSC
Ireland,M,30,39,5,5,0,19/05/2020,HPSC
Ireland,M,40,49,5,8,3,19/05/2020,HPSC
Ireland,M,50,59,23,27,4,19/05/2020,HPSC
Ireland,M,60,69,46,62,16,19/05/2020,HPSC
Ireland,M,70,79,113,178,65,19/05/2020,HPSC
Ireland,M,80,89,133,310,177,19/05/2020,HPSC
Ireland,M,90,110,45,90,45,19/05/2020,HPSC
Ireland,F,0,9,0,0,0,19/05/2020,HPSC
Ireland,F,10,19,1,1,0,19/05/2020,HPSC
Ireland,F,20,29,1,1,0,19/05/2020,HPSC
Ireland,F,30,39,2,4,2,19/05/2020,HPSC
Ireland,F,40,49,5,6,1,19/05/2020,HPSC
Ireland,F,50,59,8,16,8,19/05/2020,HPSC
Ireland,F,60,69,17,30,13,19/05/2020,HPSC
Ireland,F,70,79,68,126,58,19/05/2020,HPSC
Ireland,F,80,89,88,263,175,19/05/2020,HPSC
Ireland,F,90,110,41,180,139,19/05/2020,HPSC
Sweden,B,70,79,422,783,361,14/05/2020,
Sweden,B,80,110,840,2326,1486,14/05/2020,
