"","Age","M","F"
"1","0-4",227509,214815
"2","5-9",217192,203506
"3","10-14",218160,204948
"4","15-19",234124,219868
"5","20-24",267499,250345
"6","25-29",311161,295421
"7","30-34",312257,302919
"8","35-39",307255,302097
"9","40-44",282626,280552
"10","45-49",315359,317024
"11","50-54",362347,360154
"12","55-59",339899,340544
"13","60-64",272626,286689
"14","65-69",206136,229858
"15","70-74",188111,221382
"16","75-79",163617,207508
"17","80-84",98275,137388
"18","85-89",46316,73886
"19","90-94",17049,34697
"20","95-99",3295,10149
"21","100+",147,626
