"","Age","M","F"
"1","0-4",327390,308558
"2","5-9",344926,324345
"3","10-14",340771,322428
"4","15-19",326407,309364
"5","20-24",340912,323835
"6","25-29",371730,358908
"7","30-34",372493,371464
"8","35-39",377285,377293
"9","40-44",382329,369188
"10","45-49",395349,377286
"11","50-54",408318,393958
"12","55-59",403771,395844
"13","60-64",357371,364628
"14","65-69",296107,319181
"15","70-74",247115,281301
"16","75-79",161587,199879
"17","80-84",125077,172490
"18","85-89",68434,106943
"19","90-94",21725,36576
"20","95-99",4665,8802
"21","100+",173,906
