"","Age","M","F"
"1","0-4",1013876,965981
"2","5-9",1012761,967470
"3","10-14",1006817,961187
"4","15-19",1027473,978597
"5","20-24",1231211,1176141
"6","25-29",1371604,1331426
"7","30-34",1296540,1296437
"8","35-39",1300549,1311383
"9","40-44",1205213,1219488
"10","45-49",1185947,1187043
"11","50-54",1246964,1237596
"12","55-59",1388976,1386533
"13","60-64",1242201,1259298
"14","65-69",1017530,1073083
"15","70-74",828845,886008
"16","75-79",531453,618905
"17","80-84",337973,433208
"18","85-89",195921,289791
"19","90-94",79286,148885
"20","95-99",18324,49259
"21","100+",1324,6362
