"","Age","M","F"
"1","0-4",155083,147270
"2","5-9",156940,148573
"3","10-14",174005,164774
"4","15-19",174082,167137
"5","20-24",194805,184717
"6","25-29",201921,193548
"7","30-34",174221,168222
"8","35-39",160544,159588
"9","40-44",183041,183106
"10","45-49",192779,193165
"11","50-54",214342,208243
"12","55-59",189732,191628
"13","60-64",166561,171478
"14","65-69",153478,162217
"15","70-74",168375,176021
"16","75-79",100187,116116
"17","80-84",58687,73802
"18","85-89",26536,36829
"19","90-94",9600,15254
"20","95-99",2135,4944
"21","100+",171,874
