"","Age","M","F"
"1","0-4",1777912,1687267
"2","05-Sep",1906678,1815312
"3","Oct-14",1812169,1722896
"4","15-19",1677017,1585596
"5","20-24",1899064,1791201
"6","25-29",2039665,1970004
"7","30-34",1996819,2004089
"8","35-39",1940526,1978036
"9","40-44",1783858,1799995
"10","45-49",1936273,1978611
"11","50-54",2034220,2093721
"12","55-59",1915479,1972652
"13","60-64",1621138,1683550
"14","65-69",1421548,1520462
"15","70-74",1406146,1529220
"16","75-79",944518,1079451
"17","80-84",650953,793716
"18","85-89",341391,455738
"19","90-94",120607,180576
"20","95-99",21995,38179
"21","100+",1538,6281
