"","Age","M","F"
"1","0-4",138799,132269
"2","5-9",157414,150318
"3","10-14",157056,150194
"4","15-19",151427,144081
"5","20-24",163961,156039
"6","25-29",183471,175178
"7","30-34",178654,168118
"8","35-39",184284,174157
"9","40-44",173268,165091
"10","45-49",161315,155649
"11","50-54",179859,178661
"12","55-59",184281,186174
"13","60-64",174827,182750
"14","65-69",171408,187043
"15","70-74",160168,181792
"16","75-79",91262,114543
"17","80-84",58915,84960
"18","85-89",29081,47861
"19","90-94",9255,18513
"20","95-99",1581,4148
"21","100+",100,507
