"","Age","M","F"
"1","0-4",1875383,1793838
"2","5-9",2011880,1925529
"3","10-14",2040340,1947414
"4","15-19",1974988,1894312
"5","20-24",1867826,1830692
"6","25-29",1843171,1873759
"7","30-34",1949911,2023620
"8","35-39",1981008,2053344
"9","40-44",1969854,2020238
"10","45-49",2187504,2230886
"11","50-54",2142209,2215992
"12","55-59",2062831,2179885
"13","60-64",1891456,2060753
"14","65-69",1767469,1991281
"15","70-74",1539443,1789994
"16","75-79",908274,1132153
"17","80-84",705662,1000705
"18","85-89",428010,708389
"19","90-94",161298,326704
"20","95-99",41390,112468
"21","100+",2337,13075
