"","Age","M","F"
"1","0-4",2045919,1941523
"2","5-9",1928580,1810893
"3","10-14",1971230,1826839
"4","15-19",2163070,1987285
"5","20-24",2376291,2175056
"6","25-29",2538483,2331831
"7","30-34",2812868,2630783
"8","35-39",2711490,2615298
"9","40-44",2512560,2475429
"10","45-49",2724685,2687529
"11","50-54",3448195,3415871
"12","55-59",3347849,3362968
"13","60-64",2776121,2889856
"14","65-69",2191492,2421606
"15","70-74",1776313,2014108
"16","75-79",1651926,2023335
"17","80-84",1290390,1758337
"18","85-89",515878,782555
"19","90-94",183149,326501
"20","95-99",33232,91367
"21","100+",2493,10631
