"","Age","M","F"
"1","0-4",216451,203212
"2","5-9",253446,237406
"3","10-14",280406,264522
"4","15-19",268733,257553
"5","20-24",272260,258641
"6","25-29",282340,255675
"7","30-34",323905,302756
"8","35-39",386289,371561
"9","40-44",398538,387338
"10","45-49",398718,400318
"11","50-54",387235,399436
"12","55-59",338703,364202
"13","60-64",314633,351118
"14","65-69",267759,309592
"15","70-74",246789,287401
"16","75-79",182057,224208
"17","80-84",166687,231897
"18","85-89",103102,150334
"19","90-94",41520,58342
"20","95-99",9533,14776
"21","100+",1001,1486
