"","Age","M","F"
"1","0-4",234915,222223
"2","5-9",233064,221780
"3","10-14",249120,236705
"4","15-19",250302,236607
"5","20-24",275462,262118
"6","25-29",326497,312078
"7","30-34",310891,298281
"8","35-39",339518,334800
"9","40-44",415693,410376
"10","45-49",377723,375633
"11","50-54",306356,319035
"12","55-59",266829,297158
"13","60-64",299351,364797
"14","65-69",280403,371978
"15","70-74",181405,273902
"16","75-79",129265,226761
"17","80-84",68337,151807
"18","85-89",31898,76379
"19","90-94",7310,18594
"20","95-99",2304,5272
"21","100+",71,106
