"","Age","M","F"
"1","0-4",165556,155965
"2","5-9",185392,176449
"3","10-14",178146,171158
"4","15-19",154815,149281
"5","20-24",143818,139430
"6","25-29",140082,135780
"7","30-34",158450,161964
"8","35-39",188985,201208
"9","40-44",190761,200187
"10","45-49",176844,179874
"11","50-54",151941,153394
"12","55-59",139947,142713
"13","60-64",121036,124886
"14","65-69",110712,114908
"15","70-74",90960,95817
"16","75-79",59097,64483
"17","80-84",35981,42301
"18","85-89",15870,18924
"19","90-94",4414,5757
"20","95-99",1149,1901
"21","100+",89,357
