"","Age","M","F"
"1","0-4",1227140,1155405
"2","5-9",1400399,1320632
"3","10-14",1476556,1392257
"4","15-19",1484452,1387067
"5","20-24",1533272,1422049
"6","25-29",1630731,1549174
"7","30-34",1711693,1678215
"8","35-39",1861234,1849601
"9","40-44",2157716,2166599
"10","45-49",2432025,2468825
"11","50-54",2410929,2484894
"12","55-59",2221334,2336011
"13","60-64",1854790,2003108
"14","65-69",1671182,1844824
"15","70-74",1548732,1765263
"16","75-79",1156303,1433573
"17","80-84",930792,1303432
"18","85-89",469675,819167
"19","90-94",175015,399302
"20","95-99",42159,124445
"21","100+",2785,12034
