"","Age","M","F"
"1","0-4",17043,16045
"2","5-9",16433,15692
"3","10-14",16017,15484
"4","15-19",17894,16861
"5","20-24",20594,19251
"6","25-29",23065,21715
"7","30-34",23992,23876
"8","35-39",24156,23890
"9","40-44",23751,22039
"10","45-49",25073,22673
"11","50-54",25023,22433
"12","55-59",21202,20109
"13","60-64",16985,16543
"14","65-69",13092,13075
"15","70-74",10190,10863
"16","75-79",6666,8143
"17","80-84",4856,6217
"18","85-89",2717,3882
"19","90-94",659,1128
"20","95-99",77,155
"21","100+",5,28
