"","Age","M","F"
"1","0-4",442763,420544
"2","5-9",461810,437573
"3","10-14",489546,463379
"4","15-19",523735,496808
"5","20-24",524858,501474
"6","25-29",549796,530594
"7","30-34",539920,526820
"8","35-39",508911,500207
"9","40-44",511924,510587
"10","45-49",589411,590037
"11","50-54",646351,638561
"12","55-59",623258,612200
"13","60-64",551311,552790
"14","65-69",488065,504022
"15","70-74",445893,467751
"16","75-79",278873,310322
"17","80-84",176576,218683
"18","85-89",85228,119893
"19","90-94",23595,35644
"20","95-99",4763,9126
"21","100+",297,1594
