"","Age","M","F"
"1","00-04",61906,58463
"2","05-09",65597,62949
"3","10-14",63776,60351
"4","15-19",58024,54373
"5","20-24",59941,55418
"6","25-29",61290,61035
"7","30-34",62888,63873
"8","35-39",60734,63849
"9","40-44",56218,60036
"10","45-49",61271,64509
"11","50-54",64555,67429
"12","55-59",61252,63402
"13","60-64",52148,53656
"14","65-69",43846,45223
"15","70-74",38383,42509
"16","75-79",28045,32880
"17","80-84",17808,23176
"18","85-89",8748,13278
"19","90-94",2641,4625
"20","95-99",693,1597
"21","100+",52,228
