"","Age","M","F"
"1","0-4",154949,146248
"2","5-9",161739,153307
"3","10-14",164194,156184
"4","15-19",165011,157659
"5","20-24",182699,170906
"6","25-29",190792,180031
"7","30-34",189987,181972
"8","35-39",184163,171603
"9","40-44",181125,168698
"10","45-49",196341,184636
"11","50-54",191583,180026
"12","55-59",168960,160888
"13","60-64",154618,151467
"14","65-69",135714,136832
"15","70-74",126172,130940
"16","75-79",77306,87006
"17","80-84",44535,57160
"18","85-89",24168,34267
"19","90-94",8900,14506
"20","95-99",2303,5281
"21","100+",156,656
