"","Age","M","F"
"1","0-4",964314,914496
"2","5-9",991380,942504
"3","10-14",993697,947024
"4","15-19",886244,856641
"5","20-24",1046877,1014649
"6","25-29",1312405,1240527
"7","30-34",1514944,1396891
"8","35-39",1645236,1541735
"9","40-44",1465413,1428527
"10","45-49",1253659,1249804
"11","50-54",1104646,1125203
"12","55-59",1173169,1250062
"13","60-64",1295073,1468595
"14","65-69",1062872,1323771
"15","70-74",724630,1003951
"16","75-79",378000,620488
"17","80-84",300092,582426
"18","85-89",158766,369130
"19","90-94",57046,157297
"20","95-99",12869,39658
"21","100+",1004,3105
