"","Age","M","F"
"1","0-4",209341,196940
"2","5-9",231121,219202
"3","10-14",254479,244044
"4","15-19",270360,260139
"5","20-24",269162,271175
"6","25-29",263470,272726
"7","30-34",280509,295067
"8","35-39",328741,349323
"9","40-44",377694,405206
"10","45-49",386741,417471
"11","50-54",352050,387875
"12","55-59",344442,388021
"13","60-64",308794,355727
"14","65-69",279306,332838
"15","70-74",245827,306356
"16","75-79",184049,251096
"17","80-84",133224,201397
"18","85-89",71864,125188
"19","90-94",20357,42177
"20","95-99",4515,9691
"21","100+",300,1174
