"","Age","M","F"
"1","0-4",1011337,958165
"2","5-9",1166864,1104519
"3","10-14",1182869,1105654
"4","15-19",1353570,1244531
"5","20-24",1747374,1578873
"6","25-29",1856271,1615387
"7","30-34",1756422,1581655
"8","35-39",2001445,1857327
"9","40-44",2046048,1944249
"10","45-49",2205709,2134000
"11","50-54",2165615,2144863
"12","55-59",2066858,2065585
"13","60-64",1775200,1840304
"14","65-69",1205537,1306910
"15","70-74",889533,1033654
"16","75-79",635271,872127
"17","80-84",373798,637177
"18","85-89",139366,330186
"19","90-94",34605,111638
"20","95-99",7313,28057
"21","100+",440,2909
