"","ï..Age","M","F"
"1","0-4",139523,131610
"2","05-Sep",153049,145820
"3","Oct-14",150146,143881
"4","15-19",142874,136379
"5","20-24",175773,171451
"6","25-29",190588,190909
"7","30-34",181965,186332
"8","35-39",171867,179490
"9","40-44",156653,162434
"10","45-49",174657,186379
"11","50-54",193859,207019
"12","55-59",190674,202261
"13","60-64",166800,177746
"14","65-69",143132,153848
"15","70-74",131349,145669
"16","75-79",86847,106214
"17","80-84",58209,79012
"18","85-89",29324,44892
"19","90-94",9301,16096
"20","95-99",1721,3669
"21","100+",119,536
