"","Age","M","F"
"1","0-4",52865,50017
"2","5-9",56157,52972
"3","10-14",52555,49427
"4","15-19",46973,44082
"5","20-24",50611,47293
"6","25-29",58126,55181
"7","30-34",71744,66098
"8","35-39",79851,72534
"9","40-44",82937,74231
"10","45-49",76825,69952
"11","50-54",77118,75047
"12","55-59",75486,74448
"13","60-64",73368,73155
"14","65-69",65402,67852
"15","70-74",42752,49996
"16","75-79",32910,44246
"17","80-84",21209,33931
"18","85-89",9972,21302
"19","90-94",2412,6825
"20","95-99",366,1290
"21","100+",18,78
