"","Age","M","F"
"1","0-4",1038501,977680
"2","5-9",1198575,1125661
"3","10-14",1276540,1195708
"4","15-19",1135092,1074999
"5","20-24",1158980,1106079
"6","25-29",1214262,1172812
"7","30-34",1360661,1355721
"8","35-39",1718964,1722935
"9","40-44",2057321,1993237
"10","45-49",1983751,1901196
"11","50-54",1801956,1790229
"12","55-59",1649984,1702474
"13","60-64",1377492,1462902
"14","65-69",1112174,1220644
"15","70-74",1000253,1158092
"16","75-79",763761,950315
"17","80-84",505913,713733
"18","85-89",355258,579735
"19","90-94",124615,230720
"20","95-99",26189,58869
"21","100+",2117,8375
