"","Age","M","F"
"1","0-4",307116,290553
"2","5-9",304759,288817
"3","10-14",296771,280944
"4","15-19",270840,257677
"5","20-24",291723,274760
"6","25-29",376952,361526
"7","30-34",343311,330153
"8","35-39",315086,300752
"9","40-44",312017,301288
"10","45-49",336452,327453
"11","50-54",342117,331458
"12","55-59",306949,300084
"13","60-64",279609,280009
"14","65-69",260470,267811
"15","70-74",270355,283672
"16","75-79",191037,205407
"17","80-84",107009,128187
"18","85-89",53927,70754
"19","90-94",19945,25934
"20","95-99",5000,8006
"21","100+",322,1238
