"","Age","M","F"
"1","0-4",229951,218975
"2","5-9",219242,207631
"3","10-14",208921,198889
"4","15-19",218281,209572
"5","20-24",248920,240157
"6","25-29",282834,275410
"7","30-34",302273,297211
"8","35-39",307034,304630
"9","40-44",284928,281261
"10","45-49",307425,303472
"11","50-54",344478,337299
"12","55-59",316685,311380
"13","60-64",259827,256238
"14","65-69",209230,221251
"15","70-74",196419,214184
"16","75-79",141797,166332
"17","80-84",89139,114173
"18","85-89",47744,66552
"19","90-94",15431,25648
"20","95-99",3444,5808
"21","100+",228,943
