"","Age","M","F"
"1","0-4",10019240,9584856
"2","5-9",10371128,9916621
"3","10-14",10805817,10341652
"4","15-19",10837194,10413408
"5","20-24",11423547,11012420
"6","25-29",12104301,11638797
"7","30-34",11512068,11191353
"8","35-39",10672776,10603872
"9","40-44",10039561,10112012
"10","45-49",10029885,10106982
"11","50-54",10471185,10395279
"12","55-59",10754302,10936920
"13","60-64",9912939,10516713
"14","65-69",8205212,9104231
"15","70-74",6326124,7365904
"16","75-79",4071656,5053658
"17","80-84",2641546,3359319
"18","85-89",1419860,2050590
"19","90-94",634992,1046723
"20","95-99",172936,356180
"21","100+",17683,65192
