region,sex,age_min,age_max,deaths,asof
New York City,B,0,17,8,13/05/2020
New York City,B,18,44,609,13/05/2020
New York City,B,45,64,3438,13/05/2020
New York City,B,65,74,3816,13/05/2020
New York City,B,75,110,7475,13/05/2020
Geneva,M,0,9,0,16/05/2020
Geneva,M,10,19,0,16/05/2020
Geneva,M,20,29,0,16/05/2020
Geneva,M,30,39,1,16/05/2020
Geneva,M,40,49,0,16/05/2020
Geneva,M,50,59,6,16/05/2020
Geneva,M,60,69,8,16/05/2020
Geneva,M,70,79,26,16/05/2020
Geneva,M,80,110,101,16/05/2020
Geneva,F,0,9,0,16/05/2020
Geneva,F,10,19,0,16/05/2020
Geneva,F,20,29,0,16/05/2020
Geneva,F,30,39,1,16/05/2020
Geneva,F,40,49,0,16/05/2020
Geneva,F,50,59,2,16/05/2020
Geneva,F,60,69,6,16/05/2020
Geneva,F,70,79,20,16/05/2020
Geneva,F,80,110,89,16/05/2020
