country,region,study,n,n_pos,seroprev,ciL,ciU,agerange,measure,tmin,tmax,population,assay,sens,spec,notes,adjusted,source
Switzerland,Geneva,1,341,16,0.048,0.024,0.08,5+,IgG,06/04/2020,10/04/2020,general population,ELISA,86.20%,100%,,"test performance, population age & sex",https://www.medrxiv.org/content/10.1101/2020.05.02.20088898v1.full.pdf+html
Switzerland,Geneva,1,469,40,0.085,0.059,0.114,5+,IgG,14/04/2020,17/04/2020,general population,ELISA,86.20%,100%,,"test performance, population age & sex",https://www.medrxiv.org/content/10.1101/2020.05.02.20088898v1.full.pdf+html
Switzerland,Geneva,1,577,63,0.109,0.079,0.144,5+,IgG,20/04/2020,24/04/2020,general population,ELISA,86.20%,100%,,"test performance, population age & sex",https://www.medrxiv.org/content/10.1101/2020.05.02.20088898v1.full.pdf+html
Switzerland,Geneva,1,604,40,0.066,0.043,0.094,5+,IgG,27/04/2020,02/05/2020,general population,ELISA,,,,,
Switzerland,Geneva,1,775,84,0.108,0.082,0.139,5+,IgG,04/05/2020,09/05/2020,general population,ELISA,,,,,
Finland,Finland,2,362,9,0.0249,0.0131,0.0466,18-69,IgG,13/04/2020,19/04/2020,general population,fluorescence-based multiplex assay,,,,,https://www.thl.fi/roko/cov-vaestoserologia/sero_report_weekly.html
Finland,Finland,2,674,17,0.0252,0.0158,0.04,18-69,IgG,20/04/2020,26/04/2020,general population,fluorescence-based multiplex assay,,,,,https://www.thl.fi/roko/cov-vaestoserologia/sero_report_weekly.html
Finland,Finland,2,426,12,0.0282,0.0162,0.0486,18-69,IgG,27/04/2020,03/05/2020,general population,fluorescence-based multiplex assay,,,,,https://www.thl.fi/roko/cov-vaestoserologia/sero_report_weekly.html
Finland,Finland,2,514,8,0.0156,0.0079,0.0304,18-69,IgG,04/05/2020,10/05/2020,general population,fluorescence-based multiplex assay,,,,,https://www.thl.fi/roko/cov-vaestoserologia/sero_report_weekly.html
Finland,Finland,2,401,4,0.01,0.0039,0.0254,18-69,IgG,11/05/2020,17/05/2020,general population,fluorescence-based multiplex assay,,,,,https://www.thl.fi/roko/cov-vaestoserologia/sero_report_weekly.html
Finland,Finland,2,210,9,0.0429,0.0227,0.0794,18-69,IgG,18/05/2020,24/05/2020,general population,fluorescence-based multiplex assay,,,,,https://www.thl.fi/roko/cov-vaestoserologia/sero_report_weekly.html
Finland,Finland,2,178,5,0.0281,0.0121,0.0641,18-69,IgG,25/05/2020,31/05/2020,general population,fluorescence-based multiplex assay,,,,,https://www.thl.fi/roko/cov-vaestoserologia/sero_report_weekly.html
Finland,Finland,2,190,6,0.031578947,0.0146,0.0672,18-69,IgG,01/06/2020,07/06/2020,general population,fluorescence-based multiplex assay,,,,,https://www.thl.fi/roko/cov-vaestoserologia/sero_report_weekly.html
Scotland,Scotland,3,500,0,0,,,18-75,IgG/IgM,17/03/2020,17/03/2020,blood donors,"pseudotyped microneutralization assay, confirmed with ELISA",,,,,https://www.medrxiv.org/content/10.1101/2020.04.13.20060467v1.full.pdf
Scotland,Scotland,3,500,6,0.012,,,18-75,IgG/IgM,21/03/2020,23/03/2020,blood donors,"pseudotyped microneutralization assay, confirmed with ELISA",,,,,https://www.medrxiv.org/content/10.1101/2020.04.13.20060467v1.full.pdf
Belgium,Belgium,4,900,43,0.047777778,,,18-75,,14/04/2020,16/04/2020,blood donors,,,,,,https://covid-19.sciensano.be/sites/default/files/Covid19/COVID-19_Weekly%20report_20200529%20-%20NL_0.pdf
Belgium,Belgium,4,900,42,0.046666667,,,18-75,,27/04/2020,29/04/2020,blood donors,,,,,,https://covid-19.sciensano.be/sites/default/files/Covid19/COVID-19_Weekly%20report_20200529%20-%20NL_0.pdf
Belgium,Belgium,4,900,42,0.046666667,,,18-75,,11/05/2020,13/05/2020,blood donors,,,,,,https://covid-19.sciensano.be/sites/default/files/Covid19/COVID-19_Weekly%20report_20200529%20-%20NL_0.pdf
Belgium,Belgium,4,3910,113,0.029,0.023,0.036,0-101,IgG,30/03/2020,05/04/2020,general population,EuroImmun ELISA,64.5-87.8%,99.20%,"sensitivity ranged from 64·5% to 143 87,8% in pauci-symptomatic patients and patients with severe disease, respectively, using samples from patients >14 days after onset of disease symptoms",population demographis,https://www.medrxiv.org/content/10.1101/2020.06.08.20125179v1.full.pdf
Belgium,Belgium,4,3397,204,0.06,0.051,0.071,0-101,IgG,20/04/2020,26/04/2020,general population,EuroImmun ELISA,64.5-87.8%,99.20%,"sensitivity ranged from 64·5% to 143 87,8% in pauci-symptomatic patients and patients with severe disease, respectively, using samples from patients >14 days after onset of disease symptoms",population demographis,https://www.medrxiv.org/content/10.1101/2020.06.08.20125179v1.full.pdf
