country,region,study,n,n_pos,seroprev,agerange,measure,tmin,tmax,population,assay,sensitivity,specificity,notes,n_pos_raw,seroprev_raw,adjusted,source,
Switzerland,Geneva,Geneva,341,16,0.048,5+,IgG,06/04/2020,10/04/2020,general population,Euroimmun ELISA,0.93,1,in-house validation,12,0.035,"test performance, population age & sex",https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31304-0/fulltext,
Switzerland,Geneva,Geneva,469,40,0.085,5+,IgG,14/04/2020,17/04/2020,general population,Euroimmun ELISA,0.93,1,in-house validation,28,0.06,"test performance, population age & sex",https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31304-0/fulltext,
Switzerland,Geneva,Geneva,577,63,0.109,5+,IgG,20/04/2020,24/04/2020,general population,Euroimmun ELISA,0.93,1,in-house validation,61,0.106,"test performance, population age & sex",https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31304-0/fulltext,
Switzerland,Geneva,Geneva,604,40,0.066,5+,IgG,27/04/2020,02/05/2020,general population,Euroimmun ELISA,0.93,1,in-house validation,36,0.06,"test performance, population age & sex",https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31304-0/fulltext,
Switzerland,Geneva,Geneva,775,84,0.108,5+,IgG,04/05/2020,09/05/2020,general population,Euroimmun ELISA,0.93,1,in-house validation,82,0.106,"test performance, population age & sex",https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31304-0/fulltext,
Finland,Finland,Finland,362,1,0.003,18-69,IgG,13/04/2020,19/04/2020,general population,"fluorescence-based multiplex assay, confirmed by microneut",1,1,in house ELISA and microneut. 100% sens and spec for microneut,9,0.025,,https://www.thl.fi/roko/cov-vaestoserologia/sero_report_weekly.html,
Finland,Finland,Finland,674,2,0.003,18-69,IgG,20/04/2020,26/04/2020,general population,"fluorescence-based multiplex assay, confirmed by microneut",1,1,in house ELISA and microneut. 100% sens and spec for microneut,17,0.025,,https://www.thl.fi/roko/cov-vaestoserologia/sero_report_weekly.html,
Finland,Finland,Finland,426,2,0.005,18-69,IgG,27/04/2020,03/05/2020,general population,"fluorescence-based multiplex assay, confirmed by microneut",1,1,in house ELISA and microneut. 100% sens and spec for microneut,12,0.028,,https://www.thl.fi/roko/cov-vaestoserologia/sero_report_weekly.html,
Finland,Finland,Finland,514,0,0,18-69,IgG,04/05/2020,10/05/2020,general population,"fluorescence-based multiplex assay, confirmed by microneut",1,1,in house ELISA and microneut. 100% sens and spec for microneut,8,0.016,,https://www.thl.fi/roko/cov-vaestoserologia/sero_report_weekly.html,
Finland,Finland,Finland,401,1,0.003,18-69,IgG,11/05/2020,17/05/2020,general population,"fluorescence-based multiplex assay, confirmed by microneut",1,1,in house ELISA and microneut. 100% sens and spec for microneut,4,0.01,,https://www.thl.fi/roko/cov-vaestoserologia/sero_report_weekly.html,
Finland,Finland,Finland,210,1,0.005,18-69,IgG,18/05/2020,24/05/2020,general population,"fluorescence-based multiplex assay, confirmed by microneut",1,1,in house ELISA and microneut. 100% sens and spec for microneut,9,0.043,,https://www.thl.fi/roko/cov-vaestoserologia/sero_report_weekly.html,
Finland,Finland,Finland,178,0,0,18-69,IgG,25/05/2020,31/05/2020,general population,"fluorescence-based multiplex assay, confirmed by microneut",1,1,in house ELISA and microneut. 100% sens and spec for microneut,5,0.028,,https://www.thl.fi/roko/cov-vaestoserologia/sero_report_weekly.html,
Finland,Finland,Finland,214,1,0.005,18-69,IgG,01/06/2020,07/06/2020,general population,"fluorescence-based multiplex assay, confirmed by microneut",1,1,in house ELISA and microneut. 100% sens and spec for microneut,8,0.037,,https://www.thl.fi/roko/cov-vaestoserologia/sero_report_weekly.html,
Scotland,Scotland,Scotland-1,500,0,0,18-75,IgG/IgM,17/03/2020,17/03/2020,blood donors,"pseudotyped microneutralization assay, confirmed with ELISA",0.9411,1,"in house assays, unknown sens & spec",0,0,,https://www.medrxiv.org/content/10.1101/2020.04.13.20060467v1.full.pdf,
